lesson,TEKS,Human_TEKS,machine_readable
1.10,3.C,A1.3.C,a88cfd47-d05b-5284-a6d6-0f89f439ed7a
1.10,3.A,A1.3.A,0ac7ae3b-f0c3-547f-b68d-a6bb162d6b28
1.1,2.C,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c
1.2,2.C,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c
1.3,2.C,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c
1.4,2.C,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c
1.5,3.C,A1.3.C,a88cfd47-d05b-5284-a6d6-0f89f439ed7a
1.5,2.C,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c
1.6,5.A,A1.5.A,f2978b80-66c9-530f-bcb2-53d438f51304
1.7,5.A,A1.5.A,f2978b80-66c9-530f-bcb2-53d438f51304
1.8,2.C,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c
1.8,12.E,A1.12.E,ad901527-efdd-5c29-b9bf-c98d15da9b40
1.9,2.C,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c
1.9,12.E,A1.12.E,ad901527-efdd-5c29-b9bf-c98d15da9b40
1.11,3.C,A1.3.C,a88cfd47-d05b-5284-a6d6-0f89f439ed7a
1.11,3.A,A1.3.A,0ac7ae3b-f0c3-547f-b68d-a6bb162d6b28
1.12,2.B,A1.2.B,45e1c534-9a8a-5a7c-8a25-abd615caafb0
1.12,2.C,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c
1.13,2.C,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c
1.14,2.E,A1.2.E,779ab47e-31c6-5e7d-800f-cdb14940fa90
1.14,2.F,A1.2.F,f6b1b19a-ef82-5436-98d7-a69840033caf
1.14,2.B,A1.2.B,45e1c534-9a8a-5a7c-8a25-abd615caafb0
1.14,2.G,A1.2.G,aa1373bb-8af2-511f-9623-f76b329570b4
1.14,3.A,A1.3.A,0ac7ae3b-f0c3-547f-b68d-a6bb162d6b28
1.15,2.C,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c
1.15,2.D,A1.2.D,f2ae5503-7143-534f-80bb-d5319f399427
2.1,2.I,A1.2.I,43db79a6-1853-5ddd-bbc2-56c2374f1799
2.1,5.C,A1.5.C,9e41d579-da8d-5f3f-9583-077c17c07c22
2.10,5.B,A1.5.B,df61220a-1ee4-577d-a071-714d99d8dd72
2.2,3.G,A1.3.G,416640b1-38ee-57d7-80b1-978e43e590ed
2.2,3.F,A1.3.F,dd5d7789-1f47-52ff-8f7e-b7b90a75fb09
2.2,2.I,A1.2.I,43db79a6-1853-5ddd-bbc2-56c2374f1799
2.3,2.I,A1.2.I,43db79a6-1853-5ddd-bbc2-56c2374f1799
2.3,2.H,A1.2.H,049d88a4-2acc-5ede-b592-16bd767a2549
2.4,5.C,A1.5.C,9e41d579-da8d-5f3f-9583-077c17c07c22
2.5,5.C,A1.5.C,9e41d579-da8d-5f3f-9583-077c17c07c22
2.6,5.C,A1.5.C,9e41d579-da8d-5f3f-9583-077c17c07c22
2.7,5.C,A1.5.C,9e41d579-da8d-5f3f-9583-077c17c07c22
2.8,5.B,A1.5.B,df61220a-1ee4-577d-a071-714d99d8dd72
2.9,5.B,A1.5.B,df61220a-1ee4-577d-a071-714d99d8dd72
2.11,3.D,A1.3.D,f77dc072-6954-51ca-ba17-370f02ef6bf3
2.12,3.D,A1.3.D,f77dc072-6954-51ca-ba17-370f02ef6bf3
2.12,2.H,A1.2.H,049d88a4-2acc-5ede-b592-16bd767a2549
2.13,3.D,A1.3.D,f77dc072-6954-51ca-ba17-370f02ef6bf3
2.13,2.H,A1.2.H,049d88a4-2acc-5ede-b592-16bd767a2549
2.14,3.H,A1.3.H,7751e72d-57aa-5e8c-91a8-f7b381fe209c
2.14,2.H,A1.2.H,049d88a4-2acc-5ede-b592-16bd767a2549
2.15,3.H,A1.3.H,7751e72d-57aa-5e8c-91a8-f7b381fe209c
2.15,2.H,A1.2.H,049d88a4-2acc-5ede-b592-16bd767a2549
3.1,4.C,A1.4.C,c6167c81-1b38-524b-bc45-5efbc4ed28bd
3.2,4.C,A1.4.C,c6167c81-1b38-524b-bc45-5efbc4ed28bd
3.3,4.C,A1.4.C,c6167c81-1b38-524b-bc45-5efbc4ed28bd
3.4,4.A,A1.4.A,9162b0e7-5695-5c9e-a05e-c39604c30347
3.5,4.A,A1.4.A,9162b0e7-5695-5c9e-a05e-c39604c30347
3.5,4.C,A1.4.C,c6167c81-1b38-524b-bc45-5efbc4ed28bd
3.6,4.B,A1.4.B,b0a5b7f3-c103-5933-96ff-bcdb3c6fba0e
4.1,12.A,A1.12.A,65e3c1b3-8ae1-5c4e-8572-02d8b888b38a
4.2,12.A,A1.12.A,65e3c1b3-8ae1-5c4e-8572-02d8b888b38a
4.2,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
4.3,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
4.4,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
4.5,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
4.5,12.A,A1.12.A,65e3c1b3-8ae1-5c4e-8572-02d8b888b38a
4.6,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
4.6,3.C,A1.3.C,a88cfd47-d05b-5284-a6d6-0f89f439ed7a
4.6,3.A,A1.3.A,0ac7ae3b-f0c3-547f-b68d-a6bb162d6b28
4.6,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
4.7,3.B,A1.3.B,52b4b9b4-002d-50d8-b7b4-dfa1ac555ef0
4.7,2.B,A1.2.B,45e1c534-9a8a-5a7c-8a25-abd615caafb0
4.8,3.B,A1.3.B,52b4b9b4-002d-50d8-b7b4-dfa1ac555ef0
4.9,3.C,A1.3.C,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
4.9,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
4.10,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
4.11,3.E,A1.3.E,fc95a2e6-ee9b-59b4-b1ed-8be4d5c73f16
4.11,2.C,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c
4.12,2.A,A1.2.A,61871339-f16e-5d39-b93e-949c3f79375a
4.13,2.A,A1.2.A,61871339-f16e-5d39-b93e-949c3f79375a
4.14,12.C,A1.12.C,b0089912-452a-5a24-9b70-573faa30c80f
4.15,12.C,A1.12.C,b0089912-452a-5a24-9b70-573faa30c80f
4.16,12.C,A1.12.C,b0089912-452a-5a24-9b70-573faa30c80f
4.17,12.C,A1.12.C,b0089912-452a-5a24-9b70-573faa30c80f
4.18,12.D,A1.12.D,c4648a9b-d42a-553f-8f41-de1342c15cc2
5.1,11.B,A1.11.B,90a5fa57-05e7-5e92-b13a-f6c50c254cbb
5.2,11.B,A1.11.B,90a5fa57-05e7-5e92-b13a-f6c50c254cbb
5.3,9.C,A1.9.C,2d409450-219a-5a3a-855e-fef386b69dfa
5.4,9.A,A1.9.A,b49b0afb-9a3b-5db1-90ab-3583cf469642
5.4,9.B,A1.9.B,9d63ceb5-41e3-508b-b27d-f5af6e221bc9
5.4,9.C,A1.9.C,2d409450-219a-5a3a-855e-fef386b69dfa
5.4,9.D,A1.9.D,cc5e36e1-0279-5845-a28a-39cdd69d59f7
5.5,9.C,A1.9.C,2d409450-219a-5a3a-855e-fef386b69dfa
5.5,9.D,A1.9.D,cc5e36e1-0279-5845-a28a-39cdd69d59f7
5.5,9.B,A1.9.B,9d63ceb5-41e3-508b-b27d-f5af6e221bc9
5.6,9.C,A1.9.C,2d409450-219a-5a3a-855e-fef386b69dfa
5.7,9.C,A1.9.C,2d409450-219a-5a3a-855e-fef386b69dfa
5.7,9.D,A1.9.D,cc5e36e1-0279-5845-a28a-39cdd69d59f7
5.8,9.B,A1.9.B,9d63ceb5-41e3-508b-b27d-f5af6e221bc9
5.8,9.C,A1.9.C,2d409450-219a-5a3a-855e-fef386b69dfa
5.9,9.E,A1.9.E,df31b1eb-63f9-5715-afbc-d79df0cae137
5.9,9.D,A1.9.D,cc5e36e1-0279-5845-a28a-39cdd69d59f7
5.9,9.B,A1.9.B,9d63ceb5-41e3-508b-b27d-f5af6e221bc9
5.9,9.A,A1.9.A,b49b0afb-9a3b-5db1-90ab-3583cf469642
5.10,3.B,A1.3.B,52b4b9b4-002d-50d8-b7b4-dfa1ac555ef0
5.10,9.C,A1.9.C,2d409450-219a-5a3a-855e-fef386b69dfa
5.10,9.E,A1.9.E,df31b1eb-63f9-5715-afbc-d79df0cae137
5.11,9.C,A1.9.C,2d409450-219a-5a3a-855e-fef386b69dfa
5.11,9.E,A1.9.E,df31b1eb-63f9-5715-afbc-d79df0cae137
5.12,3.E,A1.3.E,fc95a2e6-ee9b-59b4-b1ed-8be4d5c73f16
5.12,9.C,A1.9.C,2d409450-219a-5a3a-855e-fef386b69dfa
5.12,9.D,A1.9.D,cc5e36e1-0279-5845-a28a-39cdd69d59f7
5.13,9.C,A1.9.C,2d409450-219a-5a3a-855e-fef386b69dfa
5.13,9.B,A1.9.B,9d63ceb5-41e3-508b-b27d-f5af6e221bc9
5.13,9.D,A1.9.D,cc5e36e1-0279-5845-a28a-39cdd69d59f7
5.14,3.B,A1.3.B,52b4b9b4-002d-50d8-b7b4-dfa1ac555ef0
5.14,9.B,A1.9.B,9d63ceb5-41e3-508b-b27d-f5af6e221bc9
5.14,9.D,A1.9.D,cc5e36e1-0279-5845-a28a-39cdd69d59f7
5.15,9.B,A1.9.B,9d63ceb5-41e3-508b-b27d-f5af6e221bc9
5.15,3.B,A1.3.B,52b4b9b4-002d-50d8-b7b4-dfa1ac555ef0
6.1,10.A,A1.10.A,6b46e1bf-5c8d-57a1-9ccd-092428e1ffe3
6.1,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
6.2,10.B,A1.10.B,37810e03-5ece-5e96-bffb-e1e35b609643
6.2,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
6.3,10.C,A1.10.C,0c1f22ef-3ead-525d-a9fa-cdd6fada199d
6.4,10.D,A1.10.D,d14c7368-61df-5623-8e3c-1af9c82201ec
6.5,10.E,A1.10.E,62062bb5-d929-59d5-95e1-bd218cbff3a6
6.6,10.F,A1.10.F,87bbf30c-716e-5cba-8ff1-abdf73763423
6.6,10.E,A1.10.E,62062bb5-d929-59d5-95e1-bd218cbff3a6
6.7,10.E,A1.10.E,62062bb5-d929-59d5-95e1-bd218cbff3a6
6.7,10.F,A1.10.F,87bbf30c-716e-5cba-8ff1-abdf73763423
6.7,10.D,A1.10.D,d14c7368-61df-5623-8e3c-1af9c82201ec
7.1,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.10,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.10,7.B,A1.7.B,3fb35ebc-c47b-5587-bcb3-bea5d161e2ad
7.2,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.3,6.B,A1.6.B,f6d6a34a-1af7-5aa8-bb82-5e5f8dd0d9d0
7.4,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
7.5,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.5,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
7.6,6.A,A1.6.A,fa787ef7-5994-593c-9ce9-6555f4d60783
7.6,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.7,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.7,6.A,A1.6.A,fa787ef7-5994-593c-9ce9-6555f4d60783
7.8,10.B,A1.10.B,37810e03-5ece-5e96-bffb-e1e35b609643
7.9,6.B,A1.6.B,f6d6a34a-1af7-5aa8-bb82-5e5f8dd0d9d0
7.9,10.B,A1.10.B,37810e03-5ece-5e96-bffb-e1e35b609643
7.11,7.B,A1.7.B,3fb35ebc-c47b-5587-bcb3-bea5d161e2ad
7.11,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.12,7.B,A1.7.B,3fb35ebc-c47b-5587-bcb3-bea5d161e2ad
7.12,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.12,7.C,A1.7.C,214b75ff-4986-5ed1-aee2-1121e41e5bb8
7.13,6.C,A1.6.C,81a6b7f7-cea8-5946-8521-5f4e6d73bc03
7.13,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.14,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.15,7.C,A1.7.C,214b75ff-4986-5ed1-aee2-1121e41e5bb8
7.15,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.16,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.17,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.17,6.A,A1.6.A,fa787ef7-5994-593c-9ce9-6555f4d60783
7.17,7.C,A1.7.C,214b75ff-4986-5ed1-aee2-1121e41e5bb8
8.1,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.2,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.3,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.4,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.5,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.6,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.7,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.8,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.9,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.10,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.11,6.C,A1.6.C,fa787ef7-5994-593c-9ce9-6555f4d60783
8.12,8.B,A1.8.B,6f25de63-5e5a-5307-96fe-4a1cf41196c9
9.1,11.A,A1.11.A,405ad834-2a5f-5791-afa8-12803e943b05
9.1,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.2,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.3,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.4,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.5,11.A,A1.11.A,405ad834-2a5f-5791-afa8-12803e943b05
9.5,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.6,11.A,A1.11.A,405ad834-2a5f-5791-afa8-12803e943b05
9.6,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.7,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.8,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
9.9,6.B,A1.6.B,f6d6a34a-1af7-5aa8-bb82-5e5f8dd0d9d0
9.9,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
9.10,6.B,A1.6.B,f6d6a34a-1af7-5aa8-bb82-5e5f8dd0d9d0
9.11,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594